,head_size_list,num_head_list,ff_dim_list,num_transformer_blocks_list,ape_label,time_list,sequence_length_list,n_list,training_loss_list,validation_loss_list,y_pred_ori_list,y_test_ori_list
0,16,2,2,1,183.97072296161392,4.010207176208496,1,0,"0     0.096868
1     0.100280
2     0.085960
3     0.090364
4     0.086736
        ...   
95    0.034679
96    0.034098
97    0.035463
98    0.031522
99    0.037979
Length: 100, dtype: float64","0     0.219356
1     0.216561
2     0.213846
3     0.211205
4     0.208595
        ...   
95    0.059972
96    0.059383
97    0.058809
98    0.058212
99    0.057635
Length: 100, dtype: float64",[0.02640943 0.02760246 0.02897719 ... 0.01017636 0.01017957 0.01018237],[0.0060687  0.0058902  0.0057051  ... 0.0033443  0.00331876 0.00329311]
1,16,2,2,1,173.8335355680782,2.8027126789093018,1,10,"0     0.030315
1     0.028683
2     0.030457
3     0.026789
4     0.035887
        ...   
86    0.030230
87    0.021092
88    0.029061
89    0.021292
90    0.026999
Length: 91, dtype: float64","0     0.054521
1     0.054035
2     0.053605
3     0.053203
4     0.052764
        ...   
86    0.036120
87    0.036110
88    0.036055
89    0.036040
90    0.036006
Length: 91, dtype: float64",[0.0235249  0.02398552 0.0247357  ... 0.01098279 0.01098329 0.01098373],[0.00696083 0.00681154 0.00665193 ... 0.00333697 0.00330899 0.00328025]
2,16,2,2,1,179.17861577403943,2.1418325901031494,1,20,"0     0.029694
1     0.028310
2     0.036781
3     0.029818
4     0.027214
5     0.023495
6     0.026341
7     0.022179
8     0.023772
9     0.014951
10    0.030837
11    0.025290
12    0.032497
13    0.030699
14    0.021280
15    0.027915
16    0.029708
17    0.029179
18    0.027248
19    0.027200
20    0.030519
21    0.026766
22    0.031810
23    0.036896
24    0.023285
25    0.020868
26    0.025660
27    0.027598
28    0.020974
29    0.028869
30    0.024123
31    0.030912
32    0.039667
33    0.020163
34    0.022106
35    0.017564
36    0.026142
37    0.028054
38    0.022743
39    0.023811
dtype: float64","0     0.038610
1     0.038660
2     0.038715
3     0.038707
4     0.038637
5     0.038569
6     0.038475
7     0.038373
8     0.038210
9     0.038070
10    0.037988
11    0.037941
12    0.037852
13    0.037840
14    0.037850
15    0.037840
16    0.037844
17    0.037822
18    0.037788
19    0.037743
20    0.037719
21    0.037710
22    0.037734
23    0.037773
24    0.037791
25    0.037807
26    0.037863
27    0.037944
28    0.037934
29    0.037857
30    0.037739
31    0.037759
32    0.037903
33    0.037948
34    0.037967
35    0.037960
36    0.037967
37    0.038040
38    0.038159
39    0.038277
dtype: float64",[0.02373883 0.02344151 0.02324172 ... 0.01097341 0.01097372 0.010974  ],[0.00738511 0.00728107 0.00716421 ... 0.00311768 0.00308517 0.00305135]
3,16,2,2,1,158.09072094721674,2.372586250305176,1,30,"0     0.024055
1     0.023548
2     0.018704
3     0.028688
4     0.019978
5     0.023297
6     0.025745
7     0.027922
8     0.034879
9     0.027727
10    0.036191
11    0.024129
12    0.029220
13    0.022131
14    0.026121
15    0.026783
16    0.025510
17    0.023394
18    0.021416
19    0.030352
20    0.031523
21    0.022947
22    0.018008
23    0.026709
24    0.021677
25    0.030867
26    0.028711
27    0.029113
28    0.024369
29    0.017583
30    0.026485
31    0.024042
32    0.021817
33    0.031385
34    0.021145
35    0.027228
36    0.025653
37    0.028905
38    0.018326
39    0.020474
40    0.023230
41    0.022092
42    0.027346
43    0.024161
44    0.028057
45    0.024247
46    0.024657
47    0.020544
48    0.020744
49    0.024038
50    0.021670
51    0.018727
52    0.021874
53    0.024139
54    0.027651
55    0.025679
56    0.021726
57    0.020152
58    0.025463
59    0.023024
dtype: float64","0     0.038817
1     0.039007
2     0.039147
3     0.039296
4     0.039447
5     0.039557
6     0.039677
7     0.039833
8     0.040054
9     0.040331
10    0.040720
11    0.041100
12    0.041407
13    0.041681
14    0.041914
15    0.042130
16    0.042284
17    0.042438
18    0.042602
19    0.042808
20    0.042931
21    0.043020
22    0.043072
23    0.043101
24    0.043147
25    0.043216
26    0.043185
27    0.043113
28    0.043097
29    0.043099
30    0.043097
31    0.043047
32    0.043055
33    0.043147
34    0.043264
35    0.043379
36    0.043462
37    0.043607
38    0.043778
39    0.043863
40    0.043940
41    0.043943
42    0.043950
43    0.043883
44    0.043824
45    0.043772
46    0.043705
47    0.043642
48    0.043584
49    0.043609
50    0.043629
51    0.043564
52    0.043474
53    0.043375
54    0.043337
55    0.043352
56    0.043415
57    0.043396
58    0.043291
59    0.043208
dtype: float64",[0.02391959 0.02394351 0.02382617 ... 0.01074972 0.01074965 0.01074957],[0.00791822 0.00786532 0.00779851 ... 0.003186   0.00314718 0.00310678]
4,16,2,2,1,147.46657192169587,2.198529005050659,1,40,"0     0.025205
1     0.028561
2     0.021794
3     0.026790
4     0.021756
5     0.025704
6     0.020429
7     0.019236
8     0.024423
9     0.025707
10    0.026391
11    0.032276
12    0.022246
13    0.025027
14    0.014555
15    0.020338
16    0.019099
17    0.022724
18    0.019664
19    0.023846
20    0.017511
21    0.023969
22    0.023753
23    0.021537
24    0.016110
25    0.022086
26    0.024061
27    0.027441
28    0.020488
29    0.020725
30    0.023976
31    0.025328
32    0.025664
33    0.020521
34    0.024719
35    0.027034
36    0.025499
37    0.023581
38    0.025871
39    0.021751
40    0.021251
41    0.020209
42    0.018942
43    0.024613
44    0.020031
dtype: float64","0     0.043253
1     0.043310
2     0.043502
3     0.043658
4     0.043849
5     0.044198
6     0.044547
7     0.044835
8     0.045021
9     0.045276
10    0.045574
11    0.045973
12    0.046313
13    0.046584
14    0.046737
15    0.046862
16    0.046986
17    0.047128
18    0.047256
19    0.047319
20    0.047407
21    0.047517
22    0.047587
23    0.047660
24    0.047700
25    0.047711
26    0.047726
27    0.047704
28    0.047678
29    0.047662
30    0.047624
31    0.047542
32    0.047453
33    0.047354
34    0.047232
35    0.047228
36    0.047279
37    0.047355
38    0.047459
39    0.047521
40    0.047599
41    0.047716
42    0.047862
43    0.048014
44    0.048081
dtype: float64",[0.02315409 0.02319044 0.02322441 ... 0.01039736 0.01039705 0.01039673],[0.00817674 0.00817434 0.00815855 ... 0.00303634 0.00298964 0.0029411 ]
5,16,2,2,1,137.49924617692614,2.1178135871887207,1,50,"0     0.024743
1     0.015759
2     0.028046
3     0.026026
4     0.019944
5     0.024864
6     0.019322
7     0.026143
8     0.012861
9     0.019584
10    0.018202
11    0.019056
12    0.022137
13    0.014976
14    0.024916
15    0.016498
16    0.019644
17    0.021911
18    0.019242
19    0.023650
20    0.024756
21    0.020768
22    0.018888
23    0.030493
24    0.019537
25    0.026902
26    0.019005
27    0.022099
28    0.021468
29    0.023786
30    0.023502
31    0.027995
32    0.018404
33    0.026985
34    0.019048
35    0.018635
36    0.021053
37    0.025971
38    0.021277
dtype: float64","0     0.048716
1     0.048755
2     0.048829
3     0.048904
4     0.049028
5     0.049216
6     0.049464
7     0.049815
8     0.050110
9     0.050267
10    0.050380
11    0.050466
12    0.050521
13    0.050571
14    0.050586
15    0.050553
16    0.050439
17    0.050377
18    0.050309
19    0.050317
20    0.050313
21    0.050306
22    0.050251
23    0.050277
24    0.050280
25    0.050234
26    0.050227
27    0.050179
28    0.050100
29    0.050096
30    0.050101
31    0.050089
32    0.050021
33    0.049977
34    0.049966
35    0.050024
36    0.050070
37    0.050092
38    0.050150
dtype: float64",[0.02277729 0.02282195 0.02286528 ... 0.01066216 0.0106618  0.01066142],[0.00849076 0.00853505 0.00856823 ... 0.0030006  0.00294425 0.00288633]
6,16,2,2,1,134.25063616579163,2.075411319732666,1,60,"0     0.025379
1     0.024221
2     0.019868
3     0.023649
4     0.021343
5     0.015192
6     0.020248
7     0.020063
8     0.019148
9     0.022847
10    0.017256
11    0.015614
12    0.022930
13    0.028679
14    0.025522
15    0.023392
16    0.021716
17    0.024999
18    0.019737
19    0.020884
20    0.019626
21    0.025192
22    0.020842
23    0.019109
24    0.024637
25    0.020357
26    0.021508
27    0.021774
28    0.021941
29    0.027186
30    0.016075
31    0.021147
32    0.017157
33    0.019415
34    0.021954
35    0.032032
dtype: float64","0     0.048571
1     0.048603
2     0.048634
3     0.048606
4     0.048600
5     0.048642
6     0.048674
7     0.048653
8     0.048684
9     0.048774
10    0.048805
11    0.048833
12    0.048894
13    0.048965
14    0.048985
15    0.049092
16    0.049111
17    0.049122
18    0.049121
19    0.049097
20    0.049055
21    0.049087
22    0.049087
23    0.049029
24    0.048956
25    0.048840
26    0.048744
27    0.048618
28    0.048486
29    0.048344
30    0.048172
31    0.048000
32    0.047839
33    0.047748
34    0.047698
35    0.047675
dtype: float64",[0.02801711 0.0280818  0.02814433 ... 0.01328981 0.01328926 0.01328869],[0.0106703  0.01077316 0.01086675 ... 0.00342731 0.00334558 0.00326667]
7,16,2,2,1,160.33344866175958,2.4557652473449707,1,70,"0     0.039485
1     0.034385
2     0.028878
3     0.038722
4     0.037546
        ...   
61    0.027405
62    0.030482
63    0.026236
64    0.033428
65    0.034555
Length: 66, dtype: float64","0     0.041342
1     0.041086
2     0.040763
3     0.040393
4     0.040000
        ...   
61    0.030785
62    0.030798
63    0.030811
64    0.030826
65    0.030805
Length: 66, dtype: float64",[0.05193087 0.05158205 0.05124065 ... 0.03534126 0.03537986 0.03541567],[0.01261961 0.01234394 0.01207007 ... 0.01407322 0.01410448 0.01413123]
8,16,2,2,1,44.52008279167698,2.774184465408325,1,80,"0     0.052087
1     0.057702
2     0.055129
3     0.044007
4     0.046695
        ...   
84    0.031517
85    0.032116
86    0.034924
87    0.024959
88    0.030814
Length: 89, dtype: float64","0     0.131512
1     0.130978
2     0.130274
3     0.129465
4     0.128534
        ...   
84    0.090766
85    0.090625
86    0.090501
87    0.090464
88    0.090480
Length: 89, dtype: float64",[0.4897784  0.48866838 0.48785126 ... 0.46808407 0.4696197  0.47228187],[0.23639105 0.23689636 0.23750595 ... 0.31706017 0.31759511 0.31820337]
9,16,2,2,1,324.7133762184952,2.473022937774658,1,90,"0     0.054310
1     0.059817
2     0.052426
3     0.051509
4     0.050582
        ...   
61    0.028300
62    0.017726
63    0.021087
64    0.019772
65    0.020543
Length: 66, dtype: float64","0     0.028585
1     0.028246
2     0.027824
3     0.027374
4     0.026949
        ...   
61    0.038195
62    0.038280
63    0.038359
64    0.038412
65    0.038470
Length: 66, dtype: float64",[0.03624715 0.03629356 0.03633634 ... 0.03484852 0.03493216 0.03500883],[0.01334172 0.01334298 0.01332596 ... 0.00402402 0.00408394 0.00413388]
